2020-05-18/16:35:51		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:03		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:04		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:04		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:04		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:04		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:04		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:04		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:04		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:04		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:05		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:06		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:07		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:07		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:07		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:07		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:07		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:07		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:07		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:07		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:08		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
